date,close
1,0.21817459166049957
2,0.3996453881263733
3,0.41313326358795166
4,0.7825732827186584
5,0.8820973038673401
6,0.8887757658958435
7,0.9357824921607971
8,0.9472938179969788
9,0.8603510856628418
10,0.9205313324928284
11,0.9120182394981384
12,0.964467465877533
13,0.9751476049423218
14,0.981040894985199
15,0.962721586227417
16,0.917772114276886
17,0.6613479256629944
18,0.42041778564453125
19,0.24557115137577057
20,0.15585993230342865
21,0.15030476450920105
22,0.0945001021027565
23,0.08989724516868591
24,0.08360440284013748
25,0.2807699739933014
26,0.1636829823255539
27,0.1023736223578453
28,0.14391711354255676
29,0.14182965457439423
30,0.08635459840297699
31,0.18282119929790497
32,0.2012423276901245
33,0.2633139491081238
34,0.08530677109956741
